probeID	Gene	signal_group
SIMPROBE02665	GENE02665	shared_pass
SIMPROBE04145	GENE04145	shared_pass
SIMPROBE07978	GENE07978	shared_pass
SIMPROBE00669	GENE00669	shared_pass
SIMPROBE09180	GENE09180	shared_pass
SIMPROBE00745	GENE00745	shared_pass
SIMPROBE05291	GENE05291	shared_pass
SIMPROBE06209	GENE06209	shared_pass
SIMPROBE03093	GENE03093	shared_pass
SIMPROBE02381	GENE02381	shared_pass
SIMPROBE00311	GENE00311	shared_pass
SIMPROBE11557	GENE11557	shared_pass
SIMPROBE07197	GENE07197	shared_pass
SIMPROBE00753	GENE00753	shared_pass
SIMPROBE06612	GENE06612	shared_pass
SIMPROBE05020	GENE05020	shared_pass
SIMPROBE07107	GENE07107	shared_pass
SIMPROBE07528	GENE07528	shared_pass
SIMPROBE02396	GENE02396	shared_pass
SIMPROBE10518	GENE10518	shared_pass
SIMPROBE10295	GENE10295	shared_pass
SIMPROBE02398	GENE02398	shared_pass
SIMPROBE05916	GENE05916	shared_pass
SIMPROBE12705	GENE12705	shared_pass
SIMPROBE00929	GENE00929	shared_pass
SIMPROBE06281	GENE06281	shared_pass
SIMPROBE10525	GENE10525	shared_pass
SIMPROBE08239	GENE08239	shared_pass
SIMPROBE02699	GENE02699	shared_pass
SIMPROBE01795	GENE01795	shared_pass
SIMPROBE03941	GENE03941	shared_pass
SIMPROBE04879	GENE04879	shared_pass
SIMPROBE01381	GENE01381	shared_pass
SIMPROBE03285	GENE03285	shared_pass
SIMPROBE11075	GENE11075	shared_pass
SIMPROBE12632	GENE12632	shared_pass
SIMPROBE06260	GENE06260	shared_pass
SIMPROBE03638	GENE03638	shared_pass
SIMPROBE01819	GENE01819	shared_pass
SIMPROBE08940	GENE08940	shared_pass
SIMPROBE04859	GENE04859	top_specific_pass
SIMPROBE08967	GENE08967	top_specific_pass
SIMPROBE03797	GENE03797	top_specific_pass
SIMPROBE06038	GENE06038	top_specific_pass
SIMPROBE00022	GENE00022	top_specific_pass
SIMPROBE05034	GENE05034	top_specific_pass
SIMPROBE05210	GENE05210	top_specific_pass
SIMPROBE05503	GENE05503	top_specific_pass
SIMPROBE02357	GENE02357	top_specific_pass
SIMPROBE09587	GENE09587	top_specific_pass
SIMPROBE12976	GENE12976	top_specific_pass
SIMPROBE01946	GENE01946	top_specific_pass
SIMPROBE03198	GENE03198	top_specific_pass
SIMPROBE10633	GENE10633	top_specific_pass
SIMPROBE08477	GENE08477	top_specific_pass
SIMPROBE09959	GENE09959	top_specific_pass
SIMPROBE11046	GENE11046	top_specific_pass
SIMPROBE00451	GENE00451	top_specific_pass
SIMPROBE03734	GENE03734	top_specific_pass
SIMPROBE03504	GENE03504	top_specific_pass
SIMPROBE08058	GENE08058	top_specific_pass
SIMPROBE00703	GENE00703	top_specific_pass
SIMPROBE07148	GENE07148	top_specific_pass
SIMPROBE10929	GENE10929	top_specific_pass
SIMPROBE06324	GENE06324	top_specific_pass
SIMPROBE08881	GENE08881	bottom_specific_pass
SIMPROBE03360	GENE03360	bottom_specific_pass
SIMPROBE02340	GENE02340	bottom_specific_pass
SIMPROBE01042	GENE01042	bottom_specific_pass
SIMPROBE05730	GENE05730	bottom_specific_pass
SIMPROBE04920	GENE04920	bottom_specific_pass
SIMPROBE01970	GENE01970	bottom_specific_pass
SIMPROBE04740	GENE04740	bottom_specific_pass
SIMPROBE10155	GENE10155	bottom_specific_pass
SIMPROBE07078	GENE07078	bottom_specific_pass
SIMPROBE08846	GENE08846	bottom_specific_pass
SIMPROBE01702	GENE01702	bottom_specific_pass
SIMPROBE08066	GENE08066	bottom_specific_pass
SIMPROBE01621	GENE01621	bottom_specific_pass
SIMPROBE08243	GENE08243	bottom_specific_pass
SIMPROBE09444	GENE09444	bottom_specific_pass
SIMPROBE11232	GENE11232	bottom_specific_pass
SIMPROBE10454	GENE10454	bottom_specific_pass
SIMPROBE10033	GENE10033	bottom_specific_pass
SIMPROBE05486	GENE05486	bottom_specific_pass
SIMPROBE00034	GENE00034	bottom_specific_pass
SIMPROBE09861	GENE09861	bottom_specific_pass
SIMPROBE12684	GENE12684	bottom_specific_pass
SIMPROBE06700	GENE06700	bottom_specific_pass
SIMPROBE04076	GENE04076	bottom_specific_pass
SIMPROBE12758	GENE12758	top_heidi_rejected
SIMPROBE03724	GENE03724	top_heidi_rejected
SIMPROBE01734	GENE01734	top_heidi_rejected
SIMPROBE03031	GENE03031	top_heidi_rejected
SIMPROBE04365	GENE04365	top_heidi_rejected
SIMPROBE01608	GENE01608	top_heidi_rejected
SIMPROBE12221	GENE12221	top_heidi_rejected
SIMPROBE07495	GENE07495	top_heidi_rejected
SIMPROBE03636	GENE03636	top_heidi_rejected
SIMPROBE09856	GENE09856	top_heidi_rejected
SIMPROBE10762	GENE10762	top_heidi_rejected
SIMPROBE01838	GENE01838	top_heidi_rejected
SIMPROBE12304	GENE12304	top_heidi_rejected
SIMPROBE11536	GENE11536	top_heidi_rejected
SIMPROBE05842	GENE05842	top_heidi_rejected
SIMPROBE07783	GENE07783	bottom_heidi_rejected
SIMPROBE02270	GENE02270	bottom_heidi_rejected
SIMPROBE02983	GENE02983	bottom_heidi_rejected
SIMPROBE10100	GENE10100	bottom_heidi_rejected
SIMPROBE09066	GENE09066	bottom_heidi_rejected
SIMPROBE03648	GENE03648	bottom_heidi_rejected
SIMPROBE08221	GENE08221	bottom_heidi_rejected
SIMPROBE00795	GENE00795	bottom_heidi_rejected
SIMPROBE12552	GENE12552	bottom_heidi_rejected
SIMPROBE02192	GENE02192	bottom_heidi_rejected
SIMPROBE03089	GENE03089	bottom_heidi_rejected
SIMPROBE12544	GENE12544	bottom_heidi_rejected
SIMPROBE00542	GENE00542	bottom_heidi_rejected
SIMPROBE07089	GENE07089	bottom_heidi_rejected
SIMPROBE01017	GENE01017	bottom_heidi_rejected
